"dia","day_date","tmp_9am","dew_9am","hum_9am","wnd_9am","wdd_9am","spd_9am","alt_9am","cig_9am","pcp_hrs","pcp","pcp_yesterday"
2004-12-12 00:00:00.000,2004-12-12,18.0000000000000000,12.0000000000000000,67,360,N,9.3000000000000000,1027.1000000000000000,6000,0,0,1
2004-12-14 00:00:00.000,2004-12-14,16.0000000000000000,13.0000000000000000,81,360,N,10.3000000000000000,1029.1000000000000000,22000,0,0,0
2004-12-15 00:00:00.000,2004-12-15,15.0000000000000000,9.0000000000000000,60,360,N,11.3000000000000000,1030.1000000000000000,22000,0,0,0
2004-12-16 00:00:00.000,2004-12-16,16.0000000000000000,8.0000000000000000,50,360,N,10.3000000000000000,1029.1000000000000000,22000,0,0,0
2004-12-17 00:00:00.000,2004-12-17,18.0000000000000000,11.0000000000000000,61,360,N,6.2000000000000000,1027.1000000000000000,22000,0,0,0
2004-12-18 00:00:00.000,2004-12-18,18.0000000000000000,11.0000000000000000,61,360,N,8.2000000000000000,1027.1000000000000000,22000,0,0,0
2004-12-19 00:00:00.000,2004-12-19,17.0000000000000000,12.0000000000000000,71,360,N,9.3000000000000000,1028.1000000000000000,450,0,0,0
2004-12-20 00:00:00.000,2004-12-20,16.0000000000000000,10.0000000000000000,63,360,N,10.3000000000000000,1029.1000000000000000,6000,0,0,0
2004-12-21 00:00:00.000,2004-12-21,18.0000000000000000,11.0000000000000000,61,360,N,5.1000000000000000,1027.1000000000000000,22000,0,0,0
2004-12-22 00:00:00.000,2004-12-22,16.0000000000000000,13.0000000000000000,81,180,S,2.1000000000000000,1025.1000000000000000,22000,0,0,0
2004-12-23 00:00:00.000,2004-12-23,19.0000000000000000,13.0000000000000000,68,190,S,2.1000000000000000,1025.1000000000000000,22000,0,0,0
2004-12-24 00:00:00.000,2004-12-24,18.0000000000000000,11.0000000000000000,61,360,N,4.1000000000000000,1027.1000000000000000,480,0,0,0
2004-12-25 00:00:00.000,2004-12-25,16.0000000000000000,15.0000000000000000,94,-99,CALM,0.00000000000000000000,1025.1000000000000000,22000,0,0,0
2004-12-26 00:00:00.000,2004-12-26,17.0000000000000000,11.0000000000000000,65,360,N,10.3000000000000000,1028.1000000000000000,22000,0,0,0
2004-12-27 00:00:00.000,2004-12-27,13.0000000000000000,9.0000000000000000,69,360,N,9.3000000000000000,1030.1000000000000000,22000,0,0,0
2004-12-28 00:00:00.000,2004-12-28,14.0000000000000000,5.0000000000000000,36,360,N,8.2000000000000000,1031.2000000000000000,22000,0,0,0
2004-12-29 00:00:00.000,2004-12-29,15.0000000000000000,9.0000000000000000,60,360,N,8.2000000000000000,1031.2000000000000000,22000,0,0,0
2004-12-30 00:00:00.000,2004-12-30,16.0000000000000000,10.0000000000000000,63,360,N,7.2000000000000000,1028.1000000000000000,22000,0,0,0
2005-01-01 00:00:00.000,2005-01-01,17.0000000000000000,12.0000000000000000,71,360,N,9.3000000000000000,1029.1000000000000000,450,0,0,0
2005-01-02 00:00:00.000,2005-01-02,18.0000000000000000,13.0000000000000000,72,360,N,6.2000000000000000,1029.1000000000000000,22000,0,0,0
2005-01-03 00:00:00.000,2005-01-03,16.0000000000000000,13.0000000000000000,81,360,N,6.2000000000000000,1028.1000000000000000,360,0,0,1
2005-01-04 00:00:00.000,2005-01-04,18.0000000000000000,9.0000000000000000,50,360,N,11.3000000000000000,1028.1000000000000000,99999,0,0,0
2005-01-05 00:00:00.000,2005-01-05,16.0000000000000000,11.0000000000000000,69,360,N,5.1000000000000000,1026.1000000000000000,99999,0,0,0
2005-01-06 00:00:00.000,2005-01-06,16.0000000000000000,10.0000000000000000,63,360,N,4.1000000000000000,1025.1000000000000000,22000,0,0,0
2005-01-07 00:00:00.000,2005-01-07,18.0000000000000000,12.0000000000000000,67,360,N,6.2000000000000000,1025.1000000000000000,22000,0,0,0
2005-01-08 00:00:00.000,2005-01-08,17.0000000000000000,11.0000000000000000,65,360,N,8.2000000000000000,1027.1000000000000000,22000,0,0,0
2005-01-09 00:00:00.000,2005-01-09,15.0000000000000000,12.0000000000000000,80,360,N,10.3000000000000000,1029.1000000000000000,22000,0,0,1
2005-01-10 00:00:00.000,2005-01-10,17.0000000000000000,10.0000000000000000,59,360,N,10.3000000000000000,1028.1000000000000000,22000,0,0,0
2005-01-11 00:00:00.000,2005-01-11,16.0000000000000000,11.0000000000000000,69,360,N,7.2000000000000000,1026.1000000000000000,22000,0,0,0
2005-01-12 00:00:00.000,2005-01-12,17.0000000000000000,12.0000000000000000,71,360,N,3.1000000000000000,1025.1000000000000000,99999,0,0,0
2005-01-13 00:00:00.000,2005-01-13,19.0000000000000000,11.0000000000000000,58,180,S,3.1000000000000000,1026.1000000000000000,99999,0,0,0
2005-01-14 00:00:00.000,2005-01-14,19.0000000000000000,13.0000000000000000,68,360,N,9.3000000000000000,1030.1000000000000000,22000,0,0,0
2005-01-15 00:00:00.000,2005-01-15,15.0000000000000000,10.0000000000000000,67,360,N,9.3000000000000000,1030.1000000000000000,99999,0,0,0
2005-01-16 00:00:00.000,2005-01-16,15.0000000000000000,9.0000000000000000,60,360,N,9.3000000000000000,1031.2000000000000000,22000,0,0,0
2005-01-17 00:00:00.000,2005-01-17,14.0000000000000000,6.0000000000000000,43,360,N,10.3000000000000000,1031.2000000000000000,22000,0,0,0
2005-01-18 00:00:00.000,2005-01-18,14.0000000000000000,7.0000000000000000,50,360,N,10.3000000000000000,1031.2000000000000000,22000,0,0,0
2005-01-19 00:00:00.000,2005-01-19,13.0000000000000000,8.0000000000000000,62,360,N,9.3000000000000000,1030.1000000000000000,22000,0,0,0
2005-01-20 00:00:00.000,2005-01-20,15.0000000000000000,6.0000000000000000,40,360,N,8.2000000000000000,1030.1000000000000000,22000,0,0,0
2005-01-21 00:00:00.000,2005-01-21,14.0000000000000000,8.0000000000000000,57,360,N,6.2000000000000000,1028.1000000000000000,99999,0,0,0
2005-01-22 00:00:00.000,2005-01-22,14.0000000000000000,10.0000000000000000,71,180,S,2.1000000000000000,1027.1000000000000000,22000,0,0,0
2005-01-23 00:00:00.000,2005-01-23,14.0000000000000000,11.0000000000000000,79,360,N,8.2000000000000000,1029.1000000000000000,99999,0,0,0
2005-01-24 00:00:00.000,2005-01-24,17.0000000000000000,10.0000000000000000,59,360,N,7.2000000000000000,1031.2000000000000000,22000,0,0,0
2005-01-25 00:00:00.000,2005-01-25,17.0000000000000000,9.0000000000000000,53,360,N,6.2000000000000000,1028.1000000000000000,6000,0,0,0
2005-01-26 00:00:00.000,2005-01-26,17.0000000000000000,9.0000000000000000,53,360,N,7.2000000000000000,1026.1000000000000000,99999,0,0,0
2005-01-27 00:00:00.000,2005-01-27,15.0000000000000000,10.0000000000000000,67,20,N,2.1000000000000000,1026.1000000000000000,22000,0,0,0
2005-01-28 00:00:00.000,2005-01-28,16.0000000000000000,10.0000000000000000,63,-99,CALM,0.00000000000000000000,1026.1000000000000000,99999,0,0,0
2005-01-29 00:00:00.000,2005-01-29,17.0000000000000000,8.0000000000000000,47,360,N,5.1000000000000000,1027.1000000000000000,99999,0,0,0
2005-01-30 00:00:00.000,2005-01-30,17.0000000000000000,14.0000000000000000,82,360,N,6.2000000000000000,1025.1000000000000000,22000,0,0,0
2005-01-31 00:00:00.000,2005-01-31,17.0000000000000000,13.0000000000000000,76,360,N,8.2000000000000000,1024.0000000000000000,99999,0,0,0
2005-02-01 00:00:00.000,2005-02-01,18.0000000000000000,9.0000000000000000,50,360,N,5.1000000000000000,1024.0000000000000000,99999,0,0,0
2005-02-02 00:00:00.000,2005-02-02,17.0000000000000000,14.0000000000000000,82,360,N,7.2000000000000000,1026.1000000000000000,22000,0,0,0
2005-02-03 00:00:00.000,2005-02-03,16.0000000000000000,13.0000000000000000,81,360,N,9.3000000000000000,1027.1000000000000000,360,0,0,0
2005-02-04 00:00:00.000,2005-02-04,16.0000000000000000,12.0000000000000000,75,360,N,9.3000000000000000,1028.1000000000000000,99999,0,0,1
2005-02-05 00:00:00.000,2005-02-05,17.0000000000000000,11.0000000000000000,65,360,N,9.3000000000000000,1027.1000000000000000,450,0,0,0
2005-02-06 00:00:00.000,2005-02-06,17.0000000000000000,9.0000000000000000,53,360,N,7.7000000000000000,1026.1000000000000000,99999,0,0,0
2005-02-07 00:00:00.000,2005-02-07,16.0000000000000000,12.0000000000000000,75,360,N,6.2000000000000000,1025.1000000000000000,420,0,0,0
2005-02-08 00:00:00.000,2005-02-08,16.0000000000000000,10.0000000000000000,63,360,N,7.2000000000000000,1025.1000000000000000,6000,0,0,0
2005-02-09 00:00:00.000,2005-02-09,16.0000000000000000,11.0000000000000000,69,30,N,6.2000000000000000,1024.0000000000000000,99999,0,0,0
2005-02-10 00:00:00.000,2005-02-10,18.0000000000000000,9.0000000000000000,50,360,N,12.9000000000000000,1026.1000000000000000,22000,0,0,0
2005-02-11 00:00:00.000,2005-02-11,18.0000000000000000,13.0000000000000000,72,360,N,10.3000000000000000,1029.1000000000000000,22000,0,0,0
2005-02-12 00:00:00.000,2005-02-12,18.0000000000000000,11.0000000000000000,61,360,N,8.2000000000000000,1029.1000000000000000,22000,0,0,0
2005-02-13 00:00:00.000,2005-02-13,18.0000000000000000,10.0000000000000000,56,120,E,2.1000000000000000,1026.1000000000000000,99999,0,0,0
2005-02-14 00:00:00.000,2005-02-14,21.0000000000000000,8.0000000000000000,38,360,N,6.2000000000000000,1027.1000000000000000,99999,0,0,0
2005-02-15 00:00:00.000,2005-02-15,19.0000000000000000,9.0000000000000000,47,360,N,8.2000000000000000,1027.1000000000000000,99999,0,0,0
2005-02-16 00:00:00.000,2005-02-16,19.0000000000000000,10.0000000000000000,53,360,N,6.2000000000000000,1026.1000000000000000,22000,0,0,0
2005-02-17 00:00:00.000,2005-02-17,19.0000000000000000,13.0000000000000000,68,360,N,5.1000000000000000,1025.1000000000000000,22000,0,0,0
2005-02-18 00:00:00.000,2005-02-18,18.0000000000000000,11.0000000000000000,61,360,N,10.3000000000000000,1027.1000000000000000,22000,0,0,0
2005-02-19 00:00:00.000,2005-02-19,17.0000000000000000,9.0000000000000000,53,360,N,9.3000000000000000,1029.1000000000000000,22000,0,0,0
2005-02-20 00:00:00.000,2005-02-20,16.0000000000000000,10.0000000000000000,63,360,N,7.2000000000000000,1028.1000000000000000,22000,0,0,0
2005-02-21 00:00:00.000,2005-02-21,17.0000000000000000,13.0000000000000000,76,360,N,5.1000000000000000,1028.1000000000000000,480,0,0,0
2005-02-22 00:00:00.000,2005-02-22,19.0000000000000000,11.0000000000000000,58,360,N,8.2000000000000000,1027.1000000000000000,99999,0,0,0
2005-02-23 00:00:00.000,2005-02-23,18.0000000000000000,12.0000000000000000,67,360,N,6.2000000000000000,1026.1000000000000000,22000,0,0,0
2005-02-24 00:00:00.000,2005-02-24,19.0000000000000000,14.0000000000000000,74,180,S,2.1000000000000000,1024.0000000000000000,22000,0,0,0
2005-02-25 00:00:00.000,2005-02-25,20.0000000000000000,14.0000000000000000,70,360,N,3.1000000000000000,1025.1000000000000000,22000,0,0,0
2005-02-26 00:00:00.000,2005-02-26,20.0000000000000000,15.0000000000000000,75,180,S,2.1000000000000000,1025.1000000000000000,22000,0,0,0
2005-02-27 00:00:00.000,2005-02-27,20.0000000000000000,16.0000000000000000,80,330,N,1.5000000000000000,1026.1000000000000000,22000,0,0,0
2005-02-28 00:00:00.000,2005-02-28,22.0000000000000000,15.0000000000000000,68,50,E,3.1000000000000000,1025.1000000000000000,6000,0,0,0
2005-03-01 00:00:00.000,2005-03-01,20.0000000000000000,15.0000000000000000,75,360,N,6.2000000000000000,1026.1000000000000000,360,0,0,0
2005-03-02 00:00:00.000,2005-03-02,18.0000000000000000,17.0000000000000000,94,-99,CALM,0.00000000000000000000,1026.1000000000000000,360,0,0,1
2005-03-03 00:00:00.000,2005-03-03,20.0000000000000000,16.0000000000000000,80,180,S,5.1000000000000000,1025.1000000000000000,22000,0,0,0
2005-03-04 00:00:00.000,2005-03-04,19.0000000000000000,17.0000000000000000,89,360,N,6.2000000000000000,1026.1000000000000000,390,0,0,0
2005-03-05 00:00:00.000,2005-03-05,19.0000000000000000,14.0000000000000000,74,360,N,5.1000000000000000,1029.1000000000000000,540,0,0,0
2005-03-06 00:00:00.000,2005-03-06,20.0000000000000000,14.0000000000000000,70,360,N,5.1000000000000000,,22000,0,0,0
2005-03-07 00:00:00.000,2005-03-07,19.0000000000000000,14.0000000000000000,74,180,S,2.1000000000000000,1027.1000000000000000,480,0,0,0
2005-03-08 00:00:00.000,2005-03-08,20.0000000000000000,15.0000000000000000,75,200,S,3.1000000000000000,1026.1000000000000000,22000,0,0,0
2005-03-09 00:00:00.000,2005-03-09,20.0000000000000000,15.0000000000000000,75,180,S,5.1000000000000000,1024.0000000000000000,99999,0,0,0
2005-03-10 00:00:00.000,2005-03-10,20.0000000000000000,15.0000000000000000,75,360,N,9.3000000000000000,1024.0000000000000000,99999,0,0,1
2005-03-11 00:00:00.000,2005-03-11,19.0000000000000000,13.0000000000000000,68,360,N,2.1000000000000000,1027.1000000000000000,99999,0,0,0
2005-03-12 00:00:00.000,2005-03-12,18.0000000000000000,14.0000000000000000,78,360,N,8.2000000000000000,1028.1000000000000000,480,0,0,0
2005-03-13 00:00:00.000,2005-03-13,20.0000000000000000,14.0000000000000000,70,180,S,3.1000000000000000,1027.1000000000000000,22000,0,0,0
2005-03-14 00:00:00.000,2005-03-14,21.0000000000000000,16.0000000000000000,76,210,S,2.1000000000000000,1025.1000000000000000,480,0,0,0
2005-03-15 00:00:00.000,2005-03-15,21.0000000000000000,14.0000000000000000,67,180,S,6.2000000000000000,1024.0000000000000000,6000,0,0,0
2005-03-16 00:00:00.000,2005-03-16,20.0000000000000000,14.0000000000000000,70,180,S,5.1000000000000000,1024.0000000000000000,22000,0,0,0
2005-03-17 00:00:00.000,2005-03-17,19.0000000000000000,16.0000000000000000,84,180,S,2.1000000000000000,1024.0000000000000000,22000,2,1,0
2005-03-18 00:00:00.000,2005-03-18,20.0000000000000000,16.0000000000000000,80,360,N,4.1000000000000000,1026.1000000000000000,480,3,1,1
2005-03-19 00:00:00.000,2005-03-19,20.0000000000000000,16.0000000000000000,80,-99,CALM,0.00000000000000000000,1025.1000000000000000,480,0,0,1
2005-03-20 00:00:00.000,2005-03-20,20.0000000000000000,16.0000000000000000,80,180,S,3.1000000000000000,1026.1000000000000000,6000,0,0,0
2005-03-21 00:00:00.000,2005-03-21,21.0000000000000000,15.0000000000000000,71,-99,CALM,0.00000000000000000000,1024.0000000000000000,99999,0,0,0
2005-03-22 00:00:00.000,2005-03-22,21.0000000000000000,15.0000000000000000,71,180,S,4.1000000000000000,1023.0000000000000000,99999,0,0,0
2005-03-23 00:00:00.000,2005-03-23,22.0000000000000000,15.0000000000000000,68,210,S,3.1000000000000000,1025.1000000000000000,22000,0,0,0
